transaction_id,date,user_id,merchant_name,merchant_category,amount,is_fraud
TXN_10000,2023-04-25,USR_171,Target,Retail,153.7412865169424,1
TXN_10001,2023-01-17,USR_115,Target,,28.84,0
TXN_10002,2023-12-26,USR_379,Netflix,Entertainment,63.29,0
TXN_10003,2023-03-23,USR_457,Walmart,Retail,151.87,0
TXN_10004,2023-07-14,USR_149,Shell,Gas Station,26.2,0
TXN_10005,2023-10-02,USR_163,Walmart,Retail,26.2,0
TXN_10006,2023-12-27,USR_135,Shell,,160.65,0
TXN_10007,2023-02-21,USR_294,Target,Retail,71.34,0
TXN_10008,2023-12-10,USR_236,Shell,Gas Station,20.71,0
TXN_10009,2023-05-06,USR_183,Amazon,E-commerce,56.97,0
TXN_10010,2023-01-29,USR_217,Netflix,Entertainment,20.83,0
TXN_10011,2023-10-18,USR_467,Target,Retail,20.79,0
TXN_10012,2023-03-13,USR_226,McDonalds,Food & Beverage,42.18,0
TXN_10013,2023-07-24,USR_285,Starbucks,Food & Beverage,4.89,0
TXN_10014,2023-02-26,USR_178,Target,Retail,5.9,0
TXN_10015,2023-11-02,USR_339,Target,Retail,18.87,0
TXN_10016,2023-02-28,USR_449,Walmart,Retail,12.03,0
TXN_10017,2023-08-11,USR_180,Shell,Gas Station,45.34,0
TXN_10018,2023-04-02,USR_359,Uber,Transport,13.36,0
TXN_10019,2023-03-24,USR_376,Netflix,Entertainment,8.07,0
TXN_10020,2023-02-27,USR_285,Shell,Gas Station,143.4,0
TXN_10021,2023-10-18,USR_140,Walmart,,26.42,0
TXN_10022,2023-09-01,USR_381,Amazon,E-commerce,35.43,0
TXN_10023,2023-12-20,USR_202,Netflix,Entertainment,7.97,0
TXN_10024,2023-09-22,USR_331,Shell,,19.21,0
TXN_10025,2023-01-04,USR_136,Netflix,Entertainment,37.0,0
TXN_10026,2023-02-06,USR_363,Walmart,Retail,10.48,0
TXN_10027,2023-10-20,USR_395,Amazon,E-commerce,48.22,0
TXN_10028,2023-12-04,USR_320,Netflix,Entertainment,18.16,0
TXN_10029,2023-11-27,USR_150,Walmart,,24.74,0
TXN_10030,2023-04-08,USR_374,Target,Retail,18.14,0
TXN_10031,2023-02-08,USR_326,Netflix,Entertainment,211.09,0
TXN_10032,2023-05-02,USR_185,Walmart,Retail,32.67,0
TXN_10033,2023-01-02,USR_299,Walmart,Retail,11.5,0
TXN_10034,2023-10-12,USR_438,Starbucks,Food & Beverage,75.38,0
TXN_10035,2023-10-05,USR_131,Walmart,Retail,9.77,0
TXN_10036,2023-09-18,USR_141,Amazon,E-commerce,40.81,0
TXN_10037,2023-10-19,USR_226,Netflix,Entertainment,-4.67,0
TXN_10038,2023-04-15,USR_442,Shell,Gas Station,8.77,0
TXN_10039,2023-02-07,USR_104,Uber,Transport,40.32,0
TXN_10040,2023-09-17,USR_235,Target,,69.3,0
TXN_10041,2023-03-22,USR_324,Netflix,Entertainment,39.31,0
TXN_10042,2023-10-11,USR_253,Walmart,Retail,29.5,0
TXN_10043,2023-02-24,USR_480,Uber,Transport,24.51,0
TXN_10044,2023-11-21,USR_235,Shell,Gas Station,7.55,0
TXN_10045,2023-08-05,USR_241,Walmart,,16.12,0
TXN_10046,2023-08-15,USR_382,Uber,Transport,20.89,0
TXN_10047,2023-07-09,,Amazon,E-commerce,95.31,0
TXN_10048,2023-01-21,USR_283,Shell,Gas Station,46.69,0
TXN_10049,2023-03-21,USR_221,Starbucks,Food & Beverage,5.68,0
TXN_10050,2023-06-20,USR_500,Starbucks,Food & Beverage,192.7618614849956,1
TXN_10051,2023-12-26,USR_155,Netflix,Entertainment,-22.53,0
TXN_10052,2023-08-24,USR_279,Netflix,Entertainment,16.83,0
TXN_10053,2023-07-24,USR_268,Walmart,Retail,61.05,0
TXN_10054,2023-07-24,USR_447,Shell,Gas Station,92.85,0
TXN_10055,2023-05-14,,Target,Retail,84.04,0
TXN_10056,2023-06-10,USR_323,Starbucks,Food & Beverage,14.31,0
TXN_10057,2023-12-29,USR_323,Netflix,,24.31,0
TXN_10058,2023-02-05,USR_440,Netflix,Entertainment,46.12,0
TXN_10059,2023-06-03,USR_359,Target,Retail,87.84,0
TXN_10060,2023-04-09,USR_315,Uber,Transport,20.51,0
TXN_10061,2023-06-04,USR_307,Amazon,E-commerce,-27.5,0
TXN_10062,2023-11-07,USR_435,Starbucks,Food & Beverage,10.95,0
TXN_10063,2023-03-28,USR_437,McDonalds,,10.01,0
TXN_10064,2023-05-01,USR_444,Shell,Gas Station,74.63,0
TXN_10065,2023-09-01,USR_412,Walmart,Retail,128.54,0
TXN_10066,2023-07-16,USR_353,Netflix,Entertainment,30.81,0
TXN_10067,2023-04-23,USR_190,Target,Retail,90.34,0
TXN_10068,2023-03-04,USR_333,Netflix,,47.54,0
TXN_10069,2023-08-15,USR_413,Shell,Gas Station,17.37,0
TXN_10070,2023-09-01,USR_330,McDonalds,Food & Beverage,47.53,0
TXN_10071,2023-05-21,USR_325,McDonalds,,154.17,0
TXN_10072,2023-02-11,USR_170,Shell,Gas Station,31.95,0
TXN_10073,2023-07-28,USR_269,Netflix,Entertainment,158.32,0
TXN_10074,2023-10-27,USR_456,Starbucks,,2.41,0
TXN_10075,2023-07-19,USR_314,McDonalds,Food & Beverage,230.15397181580565,1
TXN_10076,2023-05-20,USR_323,Netflix,Entertainment,36.13,0
TXN_10077,2023-08-28,USR_165,Starbucks,Food & Beverage,24.56,0
TXN_10078,2023-08-08,USR_169,Walmart,Retail,36.3,0
TXN_10079,2023-06-17,USR_272,Shell,Gas Station,4.54,0
